DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
191818769,09/01/2019,09/01/2019,0005,18,Southeast,1802,997,TRAFFIC COLLISION,1501 3036 3004 3026 3029 3101 4018,,M,O,101,STREET,BROADWAY,MANCHESTER,"(33.9601, -118.2782)",22352,795,1002,7,13,45
190122125,09/02/2019,09/02/2019,0005,01,Central,0195,997,TRAFFIC COLLISION,3101 3401 3701 3004 3025 3029,25,F,B,101,STREET,LOS ANGELES                  ST,18TH                         ST,"(34.0306, -118.2635)",23076,694,1220,7,13,76
190512469,07/11/2019,07/11/2019,0005,05,Harbor,0529,997,TRAFFIC COLLISION,3037 3004 3028 3030 3101 4005 0605,18,X,X,101,STREET,SANFORD                      AV,F                            ST,"(33.7792, -118.2506)",3350,963,807,,15,15
191415790,07/10/2019,07/07/2019,0005,14,Pacific,1497,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4027,27,M,H,101,STREET,AVIATION                     BL,CENTURY                      BL,"(33.9455, -118.3785)",23676,,445,10,10,16
190615556,07/14/2019,07/14/2019,0005,06,Hollywood,0646,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4006,19,M,O,101,STREET,SUNSET,MC CADDEN,"(34.098, -118.338)",23446,422,468,,8,34
191818874,09/02/2019,08/24/2019,0005,18,Southeast,1871,997,TRAFFIC COLLISION,0605 3036 3004 3026 3101,59,M,X,101,STREET,135TH                        ST,VERMONT,"(33.9092, -118.2916)",24684,2002,,7,15,53
200208907,04/13/2020,04/13/2020,0005,02,Rampart,0291,997,TRAFFIC COLLISION,0605 3101 3401 3701 3006 3030,25,F,H,101,STREET,W  PICO                         BL,ALVARADO                     TR,"(34.0461, -118.2801)",23076,575,908,,11,8
190217888,09/06/2019,09/06/2019,0005,02,Rampart,0212,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026,25,F,H,101,STREET,BEVERLY                      BL,WESTMORELAND                 AV,"(34.0764, -118.288)",22721,455,507,16,8,80
192012427,06/19/2019,06/19/2019,0005,20,Olympic,2054,997,TRAFFIC COLLISION,3006 3026 3035 3037 3101 3401 3701 4020,29,F,W,101,STREET,IROLO                        ST,SAN MARINO                   ST,"(34.0545, -118.3003)",22723,607,1246,,12,89
190619466,09/22/2019,09/22/2019,0005,06,Hollywood,0636,997,TRAFFIC COLLISION,3004 3026 3034 3037 3101 3401 3701 4027 3002,25,F,H,101,STREET,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)",23446,414,1303,,8,82
